x n1 n4 n25 cauchy
-2.8 0.00791545158298 1.23652410003e-07 5.48303279694e-43 0.0360079056769
-2.79 0.00813980924755 1.38279152242e-07 1.10276789224e-42 0.0362370517394
-2.78 0.00836968915465 1.5457423777e-07 2.21238979166e-42 0.0364682973035
-2.77 0.0086052006375 1.72720466016e-07 4.42744773059e-42 0.0367016668224
-2.76 0.00884645439824 1.92919785685e-07 8.83811205127e-42 0.0369371850845
-2.75 0.00909356250159 2.15395200851e-07 1.759866919e-41 0.0371748772185
-2.74 0.00934663836761 2.40392855813e-07 3.49554112485e-41 0.037414768699
-2.73 0.00960579676354 2.68184314367e-07 6.92569350361e-41 0.037656885351
-2.72 0.00987115379475 2.99069050334e-07 1.36875709618e-40 0.0379012533559
-2.71 0.0101428268948 3.33377167544e-07 2.69838406391e-40 0.0381478992562
-2.7 0.0104209348144 3.71472368911e-07 5.30634406958e-40 0.0383968499619
-2.69 0.0107055976098 4.13755195744e-07 1.04088155797e-39 0.038648132755
-2.68 0.0109969366294 4.60666560088e-07 2.03667383876e-39 0.0389017752962
-2.67 0.0112950745005 5.12691594615e-07 3.97517195384e-39 0.0391578056298
-2.66 0.0116001351137 5.70363846457e-07 7.73935233148e-39 0.0394162521898
-2.65 0.0119122436076 6.34269843343e-07 1.50302976305e-38 0.039677143806
-2.64 0.0122315263513 7.05054062523e-07 2.91168779987e-38 0.0399405097099
-2.63 0.0125581109264 7.83424335187e-07 5.62647374566e-38 0.0402063795405
-2.62 0.0128921261079 8.70157721503e-07 1.08453120013e-37 0.0404747833508
-2.61 0.0132337018438 9.661068939e-07 2.08526890886e-37 0.040745751614
-2.6 0.0135829692337 1.07220706894e-06 3.9994138785e-37 0.0410193152299
-2.59 0.0139400605059 1.18948353096e-06 7.65147025837e-37 0.041295505531
-2.58 0.0143051089941 1.31905979372e-06 1.46018439693e-36 0.0415743542897
-2.57 0.0146782491121 1.46216644939e-06 2.77961582864e-36 0.0418558937243
-2.56 0.0150596163274 1.62015075786e-06 5.27808175123e-36 0.042140156506
-2.55 0.0154493471344 1.79448703248e-06 9.99727671109e-36 0.0424271757659
-2.54 0.0158475790254 1.98678788268e-06 1.88886786057e-35 0.0427169851017
-2.53 0.0162544504606 2.19881637742e-06 3.55988283933e-35 0.0430096185847
-2.52 0.0166701008374 2.43249919786e-06 6.69243399627e-35 0.0433051107673
-2.51 0.0170946704575 2.68994085214e-06 1.25500874543e-34 0.0436034966896
-2.5 0.0175283004936 2.97343902947e-06 2.34759767899e-34 0.0439048118874
-2.49 0.017971132954 3.28550117609e-06 4.38041093615e-34 0.0442090923992
-2.48 0.0184233106469 3.62886238036e-06 8.1530536742e-34 0.044516374774
-2.47 0.0188849771419 4.0065046599e-06 1.51370070122e-33 0.0448266960785
-2.46 0.0193562767317 4.42167774914e-06 2.80332846315e-33 0.0451400939055
-2.45 0.0198373543918 4.87792149179e-06 5.1787175481e-33 0.0454566063811
-2.44 0.0203283557382 5.37908994854e-06 9.54299567318e-33 0.0457762721732
-2.43 0.0208294269851 5.92937733709e-06 1.75412885548e-32 0.0460991304992
-2.42 0.0213407148999 6.53334592799e-06 3.21627016732e-32 0.0464252211341
-2.41 0.0218623667579 7.19595602704e-06 5.88244419545e-32 0.0467545844191
-2.4 0.0223945302948 7.92259818206e-06 1.07319186783e-31 0.0470872612698
-2.39 0.0229373536584 8.71912775934e-06 1.95304025204e-31 0.0474232931845
-2.38 0.0234909853582 9.59190204311e-06 3.54535133421e-31 0.0477627222531
-2.37 0.0240555742148 1.05478200192e-05 6.41980190974e-31 0.0481055911656
-2.36 0.0246312693064 1.15943650127e-05 1.15957338863e-30 0.0484519432209
-2.35 0.0252182199152 1.27396503577e-05 2.08924377227e-30 0.0488018223356
-2.34 0.0258165754716 1.39924682865e-05 3.75486438625e-30 0.0491552730533
